doi,title,abstract_sha256,abstract_nchar
10.1108/09654281111108535,"Smoking in Australian university students and its association with socio‐demographic factors, stress, health status, coping strategies, and attitude",84e5853ac0ba23ba87f43a7b38b22ef6bd6cde6796c9919b72761db3fe7ac926,2301
10.1007/s10113-017-1248-8,Beyond 1.5 °C: vulnerabilities and adaptation strategies for Caribbean Small Island Developing States,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.1093/jiel/jgq051,Binding Tariff Preferences for Developing Countries Under Article II Gatt,8e6bd318e59b08b27b808cc3187c23a5a8f4a29c286e8420bdc66eaa3f2c57c4,1343
10.1016/j.agwat.2016.06.006,Comparison of multi-level water use efficiency between plastic film partially mulched and non-mulched croplands at eastern Loess Plateau of China,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.1177/1010539512460569,Policy Approaches to Address the Social and Environmental Determinants of Health Inequity in Asia-Pacific,d189995ee573884ef7d968389dcfe0625ce39df962750f949a409cdbfc1e71cf,1459
10.1177/0739456x11413602,Looking for Home after Katrina,fdefa33c6c5dc1cf94b4c7ce3d8c313b674b0b6a38bb7cfc479c086198bef9ae,640
10.1007/s13280-018-1129-5,Social–ecological timelines to explore human adaptation to coastal change,47affba4a936e3050ea6ea4409a1d33c32f23493175b65016f85812451c01391,1600
10.15560/10.1.33,"What survived from the PLANAFLORO Project: angiosperms of Rondônia state, Brazil",7fd4d6cda2a0691402953a5328025cb3f0b042cf332a89f4ffc8f5b8fce25743,1006
10.1590/0102-311x00192113,Effect of physical intimate partner violence on body mass index in low-income adult women,78e450abe232e28983e17a7c5c5a6937a94734fab0c82da81856abc8385dd5d4,1001
10.1038/s41893-019-0409-9,Greater gains for Australia by tackling all SDGs but the last steps will be the most challenging,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.4102/curationis.v33i3.4,A situational analysis of child-headed households in South Africa,3ae36088a7503db8890b82d96c013ff7f0384d5a488a2af2b770b6f2c48295ee,1936
10.1111/jcms.12094,Of Gay Rights and <scp>C</scp>hristmas Ornaments: The Political History of Sexual Orientation Non‐discrimination in the <scp>T</scp>reaty of <scp>A</scp>msterdam,9eb7b87482e78cd47f507600f614d5a5fcb484e8dee58081e6f253c572e91237,1049
10.1080/14649373.2013.769758,Sterilizing society: social order and policing sex work in Taiwan,ff16fb43bd626c3a057725342786d28996706a449411352431bf55323c959d2f,1250
10.3389/fpls.2019.00605,From Leguminosae/Gramineae Intercropping Systems to See Benefits of Intercropping on Iron Nutrition,0d08803ab91cd582cdb5bc9705bacf05a1a4919ae5cb421497da0eebf5b7b21a,816
10.1007/s40725-019-00091-6,Sustainability Impact Assessment of Forest Operations: a Review,7aeff273113102d91ea6da610471df09070508a491f259199b1b6bb8215bf599,1738
10.1016/b978-0-444-63951-6.00524-6,Leishmaniases,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
