series_code,description,direction
ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",
ER_H2O_IWRMD_MI,"Degree of integrated water resources management implementation, management instruments (%)",
ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),
ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),
ER_H2O_PRDU,"Countries with procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)",
ER_H2O_PROCED,Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%),
ER_H2O_RURP,"Countries with users/communities participating in planning programs in rural drinking-water supply, by level of participation (3 = High; 2 = Moderate; 1 = Low; 0 = NA)",
ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),
ER_IAS_NATBUDP,Proportion of countries with allocation from the national budget to manage the threat of invasive alien species (%),
ER_IAS_NBSAPP,Proportion of countries with National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020 (%),
ER_MTN_DGRDA,Area of degraded mountain land (square kilometres),
ER_MTN_DGRDP,Proportion of degraded mountain land (%),
ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,
ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),
ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),
ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),
ER_UNK_TRBBREDN,Number of transboundary breeds with unknown risk status (number),
ER_WAT_PART,"Countries with users/communities participating in planning programs in water resources planning and management, by level of participation (3 = High; 2 = Moderate; 1 = Low; 0 = NA)",
ER_WAT_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%),
ER_WAT_PRDU,"Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)",
ER_WAT_PROCED,Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%),
FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",
FB_BNK_CAPA_ZS,Bank capital to assets ratio (%),
FC_ACC_SSID,Proportion of small-scale industries with a loan or line of credit (%),
FI_FSI_FSANL,Non-performing loans to total gross loans (%),
FI_FSI_FSERA,Return on assets (%),
FI_FSI_FSKA,Regulatory capital to assets (%),
FI_FSI_FSKNL,Non-performing loans net of provisions to capital (%),
FI_FSI_FSKRTC,Regulatory Tier 1 capital to risk-weighted assets (%),
FI_FSI_FSLS,Liquid assets to short term liabilities (%),
FI_FSI_FSSNO,Net open position in foreign exchange to capital (%),
FM_LBL_BMNY_ZG,Annual broad money growth (%),
FP_CPI_TOTL_ZG,"Annual inflation, consumer prices (%)",
GB_XPD_CULNAT_PB,"Total expenditure per capita spent on cultural and natural heritage, public (PPP, constant 2017 United States dollars)",
GB_XPD_CULNAT_PBPV,"Total expenditure per capita spent on cultural and natural heritage, public and private (PPP, constant 2017 United States dollars)",
GB_XPD_CULNAT_PV,"Total expenditure per capita spent on cultural and natural heritage, private (PPP, constant 2017 United States dollars)",
GB_XPD_CUL_PBPV,"Total expenditure per capita spent on cultural heritage, public and private (PPP, constant 2017 United States dollars)",
GB_XPD_NAT_PBPV,"Total expenditure per capita spent on natural heritage, public and private (PPP, constant 2017 United States dollars)",
GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (%),
GF_COM_PPPI,"Amount of United States dollars committed to public-private partnerships for infrastructure, million USD nominal",
GF_COM_PPPI_KD,"Amount of United States dollars committed to public-private partnerships for infrastructure, million USD real",
GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),
GF_XPD_GBPC,Primary government expenditures as a proportion of original approved budget (%),
IQ_SPI_PIL4,Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index),
IQ_SPI_PIL5,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),
IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",
IS_RDP_LULFRG,"Freight loaded and unloaded, maritime transport (metric tons)",
IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",
IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",
IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),
IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),
IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),
NE_CON_GOVT_KD_ZG,Annual growth of the general government final consumption expenditure (%),
NE_CON_PRVT_KD_ZG,Annual growth of households and NPISHs final consumption expenditure (%),
NE_EXP_GNFS_KD_ZG,Annual growth of exports of goods and services (%),
NE_GDI_TOTL_KD_ZG,Annual growth of the gross capital formation (%),
NE_IMP_GNFS_KD_ZG,Annual growth of imports of goods and services (%),
NV_IND_SSIS_NC,Proportion of small-scale industries in total industry value added based on national classification (%),
PA_NUS_ATLS,DEC alternative conversion factor (in local currency unit per United States dollar),
SD_CPA_UPRDP,Countries that have national urban policies or regional development plans that respond to population dynamics; ensure balanced territorial development; and increase local fiscal space (1 = YES; 0 = NO),
SD_XPD_ESED,"Proportion of total government spending on essential services, education [UIS methodology] (%)",
SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",
SE_DEV_ONTRKWB,"Percentage of children aged 24-59 months of age who are developmentally on track in health, learning and psychosocial well-being (% of children aged 24-59 months)",
SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",
SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",
SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",
SG_CPA_MIGRP,"Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)",
SG_CPA_MIGRS,"Countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (1 = Requires further progress; 2 = Partially meets; 3 = Meets; 4 = Fully meets)",
SG_CPA_OFDI,"Number of countries with an outward investment promotion scheme which can benefit developing countries, including LDCs (1 = YES, 0 = NO)",
SG_DMK_JDC,Proportions of positions in the judiciary compared to national distributions (ratio),
SG_DMK_JDC_CNS,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court (ratio)",
SG_DMK_JDC_HGR,"Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)",
SG_DMK_JDC_LWR,"Proportions of positions in the judiciary compared to national distributions, Lower Courts (ratio)",
SG_DMK_PARLCC_JC,"Number of chairs of permanent committees, by age sex and focus of the committee, Joint Committees",
SG_DMK_PARLCC_LC,"Number of chairs of permanent committees, by age sex and focus of the committee, Lower Chamber or Unicameral",
SG_DMK_PARLCC_UC,"Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber",
SG_DMK_PARLSP_LC,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral",
SG_DMK_PARLSP_UC,"Number of speakers in parliament, by age and sex, Upper Chamber",
SG_DMK_PARLYTHN_LC,"Number of youth in parliament, Lower Chamber or Unicameral (Number)",
SG_DMK_PARLYTHN_UC,"Number of youth in parliament, Upper Chamber (Number)",
SG_DMK_PARLYTHP_LC,"Proportion of youth in parliament, Lower Chamber or Unicameral (%)",
SG_DMK_PARLYTHP_UC,"Proportion of youth in parliament, Upper Chamber (%)",
SG_DMK_PARLYTHR_LC,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament in the proportion of the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral",
SG_DMK_PARLYTHR_UC,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament in the proportion of the national population with the age of eligibility as a lower bound boundary), Upper Chamber",
SG_DMK_PSRVC,Proportions of positions in the public service compared to national distributions (ratio),
SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,
SG_DSR_SFDRR,Number of countries that reported having a National DRR Strategy which is aligned to the Sendai Framework,
SG_GEN_EQPWN,Proportion of countries with systems to track and make public allocations for gender equality and women's empowerment (%),
SG_GEN_EQPWNN,Countries with systems to track and make public allocations for gender equality and women's empowerment (0 = does not meet the requirement; 1 = approached the requirement; 2  =  Fully meets requirement),
SG_GOV_LOGV,Number of local governments (number),
SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",
SG_INT_VRTDEV,"Proportion of voting rights of developing countries in international organizations, by organization (%)",
SG_LGL_LNDFEMOD,Degree to which the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control (1=No evidence to 6=Highest levels of guarantees),
SG_PLN_PRPOLRES,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by provider (%),
SG_PLN_PRVNDI,Proportion of project objectives of new development interventions drawn from country-led result frameworks - data by provider (%),
SG_PLN_PRVRICTRY,Proportion of results indicators drawn from country-led results frameworks - data by provider (%),
SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),
SG_PLN_RECNDI,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient (%),
SG_PLN_RECRICTRY,Proportion of results indicators drawn from country-led results frameworks - data by recipient (%),
SG_PLN_RECRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient (%),
SG_PLN_REPOLRES,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient (%),
SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),
SG_REG_CENSUS,Proportion of countries that have conducted at least one population and housing census in the last 10 years (%),
SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),
SG_URB_CSPART,Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,
SG_XPD_EDUC,"Proportion of total government spending on essential services, education (%)",
SG_XPD_ESSRV,Proportion of total government spending on essential services (%),
SG_XPD_HLTH,"Proportion of total government spending on essential services, health (%)",
SG_XPD_PR,Proportion of government spending which benefits the poorest 20 percent (%),
SG_XPD_PR_EDUC,Proportion of government spending on education which benefits the poorest 20 percent (%),
SG_XPD_PR_HLTH,Proportion of government spending on health which benefits the poorest 20 percent (%),
SG_XPD_PR_SOC,Proportion of government spending on social transfers which benefits the poorest 20 percent (%),
SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",
SH_SUD_ALCOL,"Alcohol use disorders, 12-month prevalence (%)",
SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",
SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",
SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),
SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",
SI_RMT_COST,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),
SI_RMT_COST_BC,Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),
SI_RMT_COST_SC,SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),
SI_RMT_COST_SND,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),
SL_CPA_YEMP,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",
SL_DOM_TSPD,"Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)",
SL_DOM_TSPDCW,"Proportion of time spent on unpaid care work, by sex, age and location (%)",
SL_DOM_TSPDDC,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",
SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),
SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",
SL_TLF_CHLDEC,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",
SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),
SL_TLF_MANF_19ICLS,Manufacturing employment as a proportion of total employment - 19th ICLS(%),
SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",
SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",
SN_STA_OVWGT,Proportion of children moderately or severely overweight (%),
SN_STA_OVWGTN,Children moderately or severely overweight (thousands),
SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",
SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",
SP_DISP_RESOL,Proportion of the population who have experienced a dispute in the past two years who accessed a formal or informal dispute resolution mechanism (%),
SP_GNP_WNOWNS,"Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)",
SP_LGL_LNDAGSEC,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex (%)",
SP_LGL_LNDDOC,"Proportion of people with legally recognized documentation of their rights to land out of total adult population, by sex (%)",
SP_LGL_LNDSEC,"Proportion of people who perceive their rights to land as secure out of total adult population, by sex (%)",
SP_LGL_LNDSTR,"Proportion of people with secure tenure rights to land out of total adult population, by sex (%)",
SP_ROD_R2KM,Proportion of the rural population who live within 2 km of an all-season road,
ST_EMP_TRSMN,Employed persons in the tourism industries (number),
TM_TAX_DMFN,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",
TM_TAX_DPRF,"Average tariff applied by developed countries, preferential status, by type of product (%)",
TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",
TM_TAX_WMPS,"Worldwide weighted tariff-average, preferential status, by type of product (%)",
TM_TRF_ZERO,Proportion of tariff lines applied to imports with zero-tariff (%),
TX_EXP_GBMRCH,Developing countries’ and least developed countries’ share of global merchandise exports (%),
TX_EXP_GBSVR,Developing countries’ and least developed countries’ share of global services exports (%),
TX_IMP_GBMRCH,Developing countries’ and least developed countries’ share of global merchandise imports (%),
TX_IMP_GBSVR,Developing countries’ and least developed countries’ share of global services imports (%),
VC_PRR_ROBB,"Police reporting rate for robbery in the previous 12 months, by sex (%)",
VC_SNS_WALN_DRK,Proportion of population that feel safe walking alone around the area they live after dark (%),
VC_VAW_PHYPYV,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years),
VC_VOH_SXPH,"Proportion of persons victim of non-sexual or sexual harassment, in the previous 12 months (%)",
